,Date,Latitude,Longitude,Altitude,Ru,Rc,Rl
112,2008-10-28 09:00:00,-60.0,-30.0,8030.0,0.52,0.5,0.4199999999999999
113,2008-10-28 09:00:00,-60.0,-30.0,10030.0,0.4099999999999999,0.4099999999999999,0.4099999999999999
114,2008-10-28 09:00:00,-60.0,0.0,30.0,1.52,1.44,1.33
115,2008-10-28 09:00:00,-60.0,0.0,2030.0,0.8499999999999999,0.7899999999999998,0.75
116,2008-10-28 09:00:00,-60.0,0.0,4030.0,0.7,0.57,0.4199999999999999
117,2008-10-28 09:00:00,-60.0,0.0,6030.0,0.52,0.47,0.33
118,2008-10-28 09:00:00,-60.0,0.0,8030.0,0.4299999999999999,0.4199999999999999,0.3599999999999999
119,2008-10-28 09:00:00,-60.0,0.0,10030.0,0.32,0.32,0.32
120,2008-10-28 09:00:00,-60.0,30.0,30.0,1.06,0.9,0.8799999999999999
121,2008-10-28 09:00:00,-60.0,30.0,2030.0,0.6699999999999999,0.5299999999999999,0.4099999999999999
122,2008-10-28 09:00:00,-60.0,30.0,4030.0,0.51,0.45,0.31
123,2008-10-28 09:00:00,-60.0,30.0,6030.0,0.3999999999999999,0.3499999999999999,0.32
124,2008-10-28 09:00:00,-60.0,30.0,8030.0,0.3400000000000001,0.2800000000000001,0.27
125,2008-10-28 09:00:00,-60.0,30.0,10030.0,0.25,0.24,0.2299999999999999
126,2008-10-28 09:00:00,-60.0,60.0,30.0,0.6199999999999999,0.4899999999999999,0.3599999999999999
127,2008-10-28 09:00:00,-60.0,60.0,2030.0,0.4199999999999999,0.3699999999999999,0.26
128,2008-10-28 09:00:00,-60.0,60.0,4030.0,0.33,0.33,0.33
129,2008-10-28 09:00:00,-60.0,60.0,6030.0,0.27,0.25,0.1799999999999999
130,2008-10-28 09:00:00,-60.0,60.0,8030.0,0.1899999999999999,0.1599999999999999,0.1399999999999999
131,2008-10-28 09:00:00,-60.0,60.0,10030.0,0.09,0.09,0.09
132,2008-10-28 09:00:00,-60.0,90.0,30.0,0.3,0.26,0.1799999999999999
133,2008-10-28 09:00:00,-60.0,90.0,2030.0,0.1999999999999999,0.1899999999999999,0.1699999999999999
134,2008-10-28 09:00:00,-60.0,90.0,4030.0,0.1499999999999999,0.0899999999999999,0.07
135,2008-10-28 09:00:00,-60.0,90.0,6030.0,0.0,0.0,0.0
136,2008-10-28 09:00:00,-60.0,90.0,8030.0,0.0,0.0,0.0
137,2008-10-28 09:00:00,-60.0,90.0,10030.0,0.0,0.0,0.0
138,2008-10-28 09:00:00,-60.0,120.0,30.0,0.1699999999999999,0.1299999999999999,0.1099999999999998
139,2008-10-28 09:00:00,-60.0,120.0,2030.0,0.1299999999999999,0.1099999999999998,0.0999999999999998
140,2008-10-28 09:00:00,-60.0,120.0,4030.0,0.1099999999999998,0.1099999999999998,0.1099999999999998
141,2008-10-28 09:00:00,-60.0,120.0,6030.0,0.08,0.08,0.08
142,2008-10-28 09:00:00,-60.0,120.0,8030.0,0.06,0.06,0.06
143,2008-10-28 09:00:00,-60.0,120.0,10030.0,0.04,0.04,0.04
144,2008-10-28 09:00:00,-60.0,150.0,30.0,0.07,0.07,0.07
145,2008-10-28 09:00:00,-60.0,150.0,2030.0,0.07,0.07,0.07
146,2008-10-28 09:00:00,-60.0,150.0,4030.0,0.06,0.06,0.06
147,2008-10-28 09:00:00,-60.0,150.0,6030.0,0.04,0.04,0.04
148,2008-10-28 09:00:00,-60.0,150.0,8030.0,0.03,0.03,0.03
149,2008-10-28 09:00:00,-60.0,150.0,10030.0,0.0,0.0,0.0
150,2008-10-28 09:00:00,-60.0,180.0,30.0,0.33,0.33,0.33
151,2008-10-28 09:00:00,-60.0,180.0,2030.0,0.08,0.08,0.08
152,2008-10-28 09:00:00,-60.0,180.0,4030.0,0.04,0.04,0.04
153,2008-10-28 09:00:00,-60.0,180.0,6030.0,0.03,0.03,0.03
154,2008-10-28 09:00:00,-60.0,180.0,8030.0,0.0,0.0,0.0
155,2008-10-28 09:00:00,-60.0,180.0,10030.0,0.0,0.0,0.0
156,2008-10-28 09:00:00,-30.0,-180.0,30.0,7.62,7.62,7.62
157,2008-10-28 09:00:00,-30.0,-180.0,2030.0,4.1899999999999995,4.17,3.78
158,2008-10-28 09:00:00,-30.0,-180.0,4030.0,2.71,2.66,2.3200000000000003
159,2008-10-28 09:00:00,-30.0,-180.0,6030.0,1.88,1.81,1.79
160,2008-10-28 09:00:00,-30.0,-180.0,8030.0,1.39,1.2999999999999998,1.19
161,2008-10-28 09:00:00,-30.0,-180.0,10030.0,1.01,0.98,0.92
162,2008-10-28 09:00:00,-30.0,-150.0,30.0,10.32,8.69,7.72
163,2008-10-28 09:00:00,-30.0,-150.0,2030.0,4.74,4.5600000000000005,4.5
164,2008-10-28 09:00:00,-30.0,-150.0,4030.0,3.74,3.01,2.9299999999999997
165,2008-10-28 09:00:00,-30.0,-150.0,6030.0,2.4,2.1399999999999997,2.0700000000000003
166,2008-10-28 09:00:00,-30.0,-150.0,8030.0,1.75,1.6,1.56
167,2008-10-28 09:00:00,-30.0,-150.0,10030.0,1.5,1.22,1.13
168,2008-10-28 09:00:00,-30.0,-120.0,30.0,11.32,11.3,11.26
169,2008-10-28 09:00:00,-30.0,-120.0,2030.0,6.65,6.2700000000000005,5.5600000000000005
170,2008-10-28 09:00:00,-30.0,-120.0,4030.0,4.34,4.01,3.69
171,2008-10-28 09:00:00,-30.0,-120.0,6030.0,3.04,2.78,2.5700000000000003
172,2008-10-28 09:00:00,-30.0,-120.0,8030.0,2.19,1.98,1.88
